containers,ram_limit,total_time,total_image_proc_time,ndvi_calc_time,read_time,write_time,system,ram,cpus
2,1.5,191.20767641067505,103.45897010394505,17.940215638705663,3.627391151019505,4.507984774453299,Windows,16,8
3,1.5,151.27795267105103,75.72465457235064,17.627040675708226,4.492110065051487,5.212798322950091,Windows,16,8
4,1.5,112.45285820960999,63.274577140808105,18.37790587970189,4.41631201335362,6.097433873585293,Windows,16,8
5,1.5,114.91527032852173,59.90209581170763,20.085043242999486,5.81712920325143,6.841760720525469,Windows,16,8
6,1.5,113.28121757507324,58.22239666325705,23.896802970341273,6.736544030053275,6.843530212129865,Windows,16,8
7,1.5,86.95891523361206,56.61873516014644,25.8884939295905,5.29816586630685,7.255229353904724,Windows,16,8
8,1.5,99.30224227905273,60.607905285699026,29.066499522754125,7.105039817946298,7.338224581309727,Windows,16,8
9,1.5,95.32321405410767,57.93315725667136,26.272920080593654,6.302902204649789,9.615688392094203,Windows,16,8
10,1.5,94.58591651916504,64.8701024055481,32.732751045908245,5.1486954007829935,10.833206227847509,Windows,16,8
2,1.5,207.67133951187134,104.49587275300708,17.4634747505188,3.081616963659014,4.946702565465655,Windows,16,8
3,1.5,131.88441729545593,68.46378585270473,16.629534210477555,3.3359773669924055,4.971500975745065,Windows,16,8
4,1.5,128.79309248924255,63.461125305720735,18.59676001753126,4.4845360687800815,5.643438918249948,Windows,16,8
5,1.5,96.50316572189331,55.59896515096937,18.516769920076644,5.3314133031027655,5.456550700323922,Windows,16,8
6,1.5,98.03227305412292,55.55703941413334,21.32496201992035,4.494252596582685,6.850686516080584,Windows,16,8
7,1.5,95.94867038726807,58.097481557301116,27.58017955507551,6.175269756998334,6.93632618018559,Windows,16,8
8,1.5,96.77386546134949,60.00074129445212,27.819112624440873,4.60107718195234,9.124597532408577,Windows,16,8
9,1.5,97.13226270675659,63.77791213989258,29.386263830321177,5.543938313211713,9.401936207498823,Windows,16,8
10,1.5,97.19121432304382,59.78053561278752,29.643364718982152,7.376335535730634,10.738291093281337,Windows,16,8
2,1.5,184.99606823921204,101.77973260198321,16.64125590665,3.407197424343654,4.317760348320007,Windows,16,8
3,1.5,137.81182384490967,74.47513096673148,17.58488760675703,3.9159823656082153,5.175167509487697,Windows,16,8
4,1.5,119.0130934715271,60.41123604774475,18.56466547080449,4.098623514175415,4.987066115651812,Windows,16,8
5,1.5,102.76896667480469,56.97209930419922,19.517314740589686,4.121896318026951,6.352543933050973,Windows,16,8
6,1.5,118.41089606285095,61.08987864426204,25.233001691954478,5.858322194644383,6.585277608462742,Windows,16,8
7,1.5,96.33236908912659,58.411424023764475,24.6924284355981,8.28962322643825,7.269477469580514,Windows,16,8
8,1.5,92.85017275810242,54.70474253382002,25.163369825908116,5.9656680311475485,7.201735411371503,Windows,16,8
9,1.5,91.27167224884033,57.113045947892324,27.6341484274183,5.041421975408282,7.9332016706466675,Windows,16,8
10,1.5,95.57125544548035,57.60305217334202,28.504881637437002,5.011885353497097,9.249999114445277,Windows,16,8
11,1.5,106.543541431427,74.20561444759369,30.636417048318044,5.461830530847822,23.39574502195631,Windows,16,8
12,1.5,91.1635422706604,61.091348835400176,40.24288489137377,5.734866755349295,6.669392040797642,Windows,16,8
13,1.5,92.68676805496216,60.88969472476414,40.151335733277456,5.530338406562805,8.919882995741707,Windows,16,8
14,1.5,91.8164279460907,62.93295623574938,46.26771209921156,5.955935852868216,10.371353285653251,Windows,16,8
